,year,month,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2016,1,5166.228933977792,844.4632816919616,273.3646161672575,26.187851625532513,256.8676508958031,2.3875593119724745,285.66020592291994,131.2751129617704,8.922454895039753,47809.00406590871,16475.902778606236,2048.6531340693236,11276.542826550163,82.85511955561954,17925.050207127362
1,2016,2,4937.3823938005335,738.4220132978481,217.6172375995953,25.089078294616108,255.34403758631112,1.7206862962824458,238.65485862224966,75.60327609157909,10.667549233517178,47514.61256010763,14043.968413312643,2348.5080445229923,13636.67324914197,62.17262924673419,17423.290223883287
2,2016,3,5516.301130770147,1002.6979719705776,253.70075932773096,27.534711395713625,374.74480286851724,2.73263828883778,343.9910766190438,52.60707574383009,11.631196904625211,58079.04840701513,15704.929346726645,1877.5045186903965,18921.799594560674,105.74757855467195,21469.067368482745
3,2016,4,5304.069945302515,805.7098506723839,233.62750103072497,20.723032554092875,256.337889268734,2.345610257686339,292.67627872039037,45.203984733245925,9.088674427335828,45397.811896262596,14052.786828440725,1528.1207573197535,11456.03903445391,78.86521132117545,18282.00006472703
4,2016,5,5559.637656878887,902.5851948926683,262.55257588103035,30.95810698007459,281.90287623393596,2.4891852851578395,324.6821512951147,30.29063093201166,14.845008489670832,51566.92099889306,15815.799859625093,2653.3012799225303,12647.117262709586,76.49393514268044,20374.20866149317
5,2016,6,5553.705555671311,1168.1359732955925,347.5787934985226,38.38048723543036,335.32662442290234,2.853759558846836,443.9933292728093,56.40231756013982,18.262479826051408,71695.13402755168,22135.23461355903,3293.6461622519314,16110.509430306509,180.48963156598631,29975.254189868218
6,2016,7,5783.672941904672,1324.8444847016992,383.0312294440156,48.35748184966222,398.44704346813705,2.2299107601943677,492.7780053084252,98.78028813094552,21.149292574572723,91258.4565714743,26593.620488025896,4492.680753238569,23400.94780378378,87.00774521494763,36684.19978121111
7,2016,8,5653.005826099507,1175.4850725087178,326.88711735226593,38.608899564096525,388.8714137598689,2.7530962754765076,418.36251759639237,64.79597578680739,14.999317977181217,75771.72839839081,22783.718846086176,3034.0050916933114,20735.12835139549,181.94853070774963,29036.927578508083
8,2016,9,5192.388363436854,751.6256396143403,210.72336448912506,23.620197124243596,269.284732145477,1.9155765080985092,244.50203185135803,17.113842103732267,7.971543490418081,41867.23963327221,12846.572372376671,1519.628465867468,12352.188368104515,77.93447185932311,15070.915955064233
9,2016,10,5390.50929892783,753.9853786955115,216.46414515089594,11.150309728861252,270.65671453216055,1.2938269577198285,254.42215052970639,55.752054852367685,7.120860042873264,41648.4184008943,12961.800383393936,731.4600890594937,12671.3663128618,47.40537905360528,15236.386236525468
10,2016,11,5192.198939264185,684.3702573296265,204.16764935484272,16.95203074280512,231.6110353687547,1.4364004224781186,230.20142248346312,12.936121485673857,7.110644537949,36046.16207454873,12056.716011482076,1055.4520407142797,9517.187395689709,63.655208258165906,13353.151418404503
11,2016,12,5316.815859977318,1204.6192352154742,355.3126681140273,42.84172554746588,353.43220854565755,2.6260431088371092,450.04211911096144,81.45961946232015,16.097899969774872,75241.83877213595,23231.410078131423,3627.9449297752967,17034.815218325373,119.80879311591299,31227.859752787932
12,2017,1,5219.774414422202,1143.6011875666356,309.08395903594925,37.13024601774836,392.0222132368958,2.134970908010868,403.2263493342219,97.35740042384748,17.871116665960123,70344.03423228937,20628.949730472992,3166.6032140542898,19397.1774411504,97.79446585874798,27053.509380752927
13,2017,2,4732.236360663617,812.0588620808836,213.91318343524625,33.124821633987146,276.46017749831293,1.0733955439958094,287.4885153982334,75.82236357410395,11.358670554286185,47081.99499813437,13549.477545346163,2170.138120881847,13265.729706385693,41.212466577929085,18055.437158942732
